product_id,sku,product_name,paper_type,weight_gsm,ream_size,brand_tier,color,recycled_flag,unit_cost,list_price
63,DM-LEG-0063,Premium Bright White Legal Pad 77gsm (250 ct),Legal Pad,77.5,250,Premium,Bright White,False,6.66,10.79
64,DM-LEG-0064,Premium Assorted Legal Pad 77gsm (1000 ct),Legal Pad,77.4,1000,Premium,Assorted,False,7.52,10.93
65,DM-LEG-0065,Premium Pink Legal Pad 69gsm (500 ct),Legal Pad,69.4,500,Premium,Pink,False,6.8,10.31
66,DM-LEG-0066,Economy Pink Legal Pad 79gsm (250 ct),Legal Pad,79.4,250,Economy,Pink,False,4.64,6.67
67,DM-LEG-0067,Economy Pink Legal Pad 70gsm (500 ct),Legal Pad,70.1,500,Economy,Pink,True,3.55,5.58
68,DM-LEG-0068,Economy Yellow Legal Pad 76gsm (500 ct),Legal Pad,76.1,500,Economy,Yellow,False,4.2,6.22
69,DM-LED-0069,Economy Bright White Ledger 99gsm (500 ct),Ledger,99.6,500,Economy,Bright White,False,5.27,8.77
70,DM-LED-0070,Standard Ivory Ledger 113gsm (500 ct),Ledger,113.4,500,Standard,Ivory,False,6.89,10.76
71,DM-LED-0071,Economy Bright White Ledger 139gsm (500 ct),Ledger,139.5,500,Economy,Bright White,True,6.29,10.85
72,DM-LED-0072,Premium Yellow Ledger 115gsm (500 ct),Ledger,115.2,500,Premium,Yellow,False,8.93,14.07
73,DM-LED-0073,Premium Assorted Ledger 92gsm (250 ct),Ledger,92.3,250,Premium,Assorted,False,6.87,12.19
74,DM-LED-0074,Premium Yellow Ledger 145gsm (1000 ct),Ledger,145.8,1000,Premium,Yellow,False,10.01,15.66
75,DM-LED-0075,Premium Assorted Ledger 135gsm (1000 ct),Ledger,135.7,1000,Premium,Assorted,True,8.01,14.24
76,DM-LED-0076,Premium Blue Ledger 121gsm (250 ct),Ledger,121.2,250,Premium,Blue,False,7.24,12.54
77,DM-LED-0077,Economy Blue Ledger 146gsm (1000 ct),Ledger,146.0,1000,Economy,Blue,True,6.61,10.83
78,DM-LED-0078,Standard Ivory Ledger 126gsm (250 ct),Ledger,126.0,250,Standard,Ivory,True,6.86,12.09
79,DM-LED-0079,Economy Blue Ledger 134gsm (500 ct),Ledger,134.6,500,Economy,Blue,False,6.97,10.46
80,DM-CON-0080,Standard Bright White Construction 136gsm (500 ct),Construction,136.1,500,Standard,Bright White,False,6.26,9.27
81,DM-CON-0081,Premium Assorted Construction 130gsm (250 ct),Construction,130.8,250,Premium,Assorted,False,8.35,12.54
82,DM-CON-0082,Standard Assorted Construction 126gsm (1000 ct),Construction,126.2,1000,Standard,Assorted,False,5.91,9.07
83,DM-CON-0083,Economy Ivory Construction 94gsm (500 ct),Construction,94.7,500,Economy,Ivory,False,4.21,7.29
84,DM-CON-0084,Economy Cream Construction 82gsm (1000 ct),Construction,82.7,1000,Economy,Cream,False,3.53,6.36
85,DM-CON-0085,Standard Assorted Construction 97gsm (1000 ct),Construction,97.0,1000,Standard,Assorted,False,5.18,8.65
86,DM-CON-0086,Standard White Construction 120gsm (250 ct),Construction,120.7,250,Standard,White,False,5.65,8.36
87,DM-CON-0087,Standard Yellow Construction 93gsm (1000 ct),Construction,93.2,1000,Standard,Yellow,False,5.73,9.15
88,DM-CON-0088,Economy Cream Construction 107gsm (1000 ct),Construction,107.8,1000,Economy,Cream,False,4.69,7.1
89,DM-CON-0089,Economy White Construction 102gsm (500 ct),Construction,102.3,500,Economy,White,False,4.55,7.28
90,DM-NEW-0090,Economy Assorted Newsprint 48gsm (500 ct),Newsprint,48.1,500,Economy,Assorted,False,2.11,3.1
91,DM-NEW-0091,Standard Assorted Newsprint 50gsm (500 ct),Newsprint,50.6,500,Standard,Assorted,False,2.55,4.21
92,DM-NEW-0092,Premium Blue Newsprint 59gsm (500 ct),Newsprint,59.1,500,Premium,Blue,False,5.12,8.26
93,DM-NEW-0093,Economy Yellow Newsprint 52gsm (250 ct),Newsprint,52.9,250,Economy,Yellow,True,1.67,2.92
94,DM-NEW-0094,Standard Pink Newsprint 53gsm (250 ct),Newsprint,53.4,250,Standard,Pink,True,3.54,5.64
95,DM-NEW-0095,Standard Bright White Newsprint 45gsm (250 ct),Newsprint,45.3,250,Standard,Bright White,True,2.3,3.86
96,DM-NEW-0096,Standard White Newsprint 52gsm (500 ct),Newsprint,52.9,500,Standard,White,False,2.38,3.7
97,DM-NEW-0097,Standard Cream Newsprint 49gsm (500 ct),Newsprint,49.9,500,Standard,Cream,False,3.28,4.62
98,DM-NEW-0098,Economy Bright White Newsprint 46gsm (250 ct),Newsprint,46.9,250,Economy,Bright White,False,2.6,3.97
99,DM-NEW-0099,Premium Assorted Newsprint 59gsm (250 ct),Newsprint,59.8,250,Premium,Assorted,False,5.56,8.47
100,DM-NEW-0100,Standard Pink Newsprint 50gsm (500 ct),Newsprint,50.8,500,Standard,Pink,True,3.2,5.2
101,DM-TEX-0101,Standard White Textured 197gsm (500 ct),Textured,197.1,500,Standard,White,False,10.49,15.67
102,DM-TEX-0102,Standard Yellow Textured 123gsm (500 ct),Textured,123.4,500,Standard,Yellow,False,7.69,13.34
103,DM-TEX-0103,Economy White Textured 186gsm (1000 ct),Textured,186.9,1000,Economy,White,False,8.3,15.06
104,DM-TEX-0104,Economy Cream Textured 124gsm (1000 ct),Textured,124.5,1000,Economy,Cream,True,6.94,10.42
105,DM-TEX-0105,Standard Blue Textured 142gsm (500 ct),Textured,142.9,500,Standard,Blue,False,9.0,13.94
106,DM-TEX-0106,Premium Pink Textured 189gsm (1000 ct),Textured,189.4,1000,Premium,Pink,False,10.34,18.32
107,DM-TEX-0107,Economy Pink Textured 111gsm (250 ct),Textured,111.0,250,Economy,Pink,False,6.0,10.37
108,DM-TEX-0108,Premium Blue Textured 135gsm (500 ct),Textured,135.5,500,Premium,Blue,False,11.94,16.75
109,DM-TEX-0109,Premium Yellow Textured 123gsm (250 ct),Textured,123.8,250,Premium,Yellow,True,9.91,15.53
110,DM-TEX-0110,Premium Pink Textured 140gsm (250 ct),Textured,140.3,250,Premium,Pink,True,11.52,16.12
111,DM-TEX-0111,Economy Ivory Textured 163gsm (250 ct),Textured,163.3,250,Economy,Ivory,False,8.09,13.53
112,DM-ENV-0112,Standard Cream Envelope 87gsm (250 ct),Envelope,87.3,250,Standard,Cream,False,6.13,8.65
113,DM-ENV-0113,Standard Assorted Envelope 100gsm (1000 ct),Envelope,100.2,1000,Standard,Assorted,False,5.99,8.92
114,DM-ENV-0114,Premium Ivory Envelope 104gsm (1000 ct),Envelope,104.5,1000,Premium,Ivory,True,7.49,13.35
115,DM-ENV-0115,Standard Assorted Envelope 89gsm (250 ct),Envelope,89.7,250,Standard,Assorted,False,5.8,8.87
116,DM-ENV-0116,Premium Ivory Envelope 112gsm (250 ct),Envelope,112.9,250,Premium,Ivory,False,8.16,12.95
117,DM-ENV-0117,Economy Blue Envelope 106gsm (250 ct),Envelope,106.2,250,Economy,Blue,False,6.0,8.69
118,DM-ENV-0118,Standard Blue Envelope 89gsm (250 ct),Envelope,89.8,250,Standard,Blue,True,5.53,8.5
119,DM-ENV-0119,Economy Cream Envelope 84gsm (250 ct),Envelope,84.4,250,Economy,Cream,False,4.78,6.82
